0.588 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.618 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.565 (+/-0.027) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.588 (+/-0.000) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.007 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.007 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.006 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.005 (+/-0.004) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.663 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.654 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.656 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.647 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.645 (+/-0.007) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.634 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.006 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.032 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.004 (+/-0.000) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
