0.523 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.010 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.008 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.010 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.012 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.010 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.006 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.008 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.008 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.008 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.649 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.641 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.633 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.618 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.618 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.597 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.009 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.014 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.010 (+/-0.011) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.014 (+/-0.011) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.008 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.006 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.010 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.019 (+/-0.035) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.004 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.638 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.618 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.613 (+/-0.011) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.585 (+/-0.004) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.582 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.554 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.008 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.009 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.008 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.007 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.006 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.006 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.632 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.619 (+/-0.004) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.605 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.588 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.586 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.535 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.009 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.006 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.007 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.007) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.006 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.015 (+/-0.014) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
