seed, order, mu, sigma, acc
12, 1,  11, 0.1. 0.43324901630129287
896783, 1,  9, 0.5. 0.4224631135200241
45234, 1,  5, 0.1. 0.4345647193585338
45234, 1,  15, 0.1. 0.4354238258877434
896783, 1,  13, 0.1. 0.42216199939777177
12, 1,  1, 0.1. 0.43240584598088816
896783, 1,  7, 0.1. 0.4212586570310147
896783, 1,  11, 0.1. 0.42216199939777177
45234, 1,  13, 0.5. 0.43442153493699887
15, 1,  1, 0.1. 0.4229471316085489
15, 1,  7, 0.1. 0.421822272215973
9, 1,  13, 0.1. 0.4106364428945074
896783, 1,  15, 0.1. 0.42216199939777177
896783, 1,  5, 0.1. 0.42216199939777177
9, 1,  7, 0.1. 0.4106364428945074
12, 1,  15, 0.1. 0.43324901630129287
12, 1,  9, 0.1. 0.43324901630129287
896783, 1,  1, 0.1. 0.4212586570310147
9, 1,  9, 0.1. 0.4106364428945074
12, 1,  5, 0.1. 0.43395165823496346
45234, 1,  9, 0.1. 0.4354238258877434
15, 1,  9, 0.1. 0.421822272215973
15, 1,  3, 0.1. 0.421822272215973
45234, 1,  11, 0.1. 0.43442153493699887
12, 1,  13, 0.1. 0.43324901630129287
15, 1,  11, 0.1. 0.421822272215973
9, 1,  15, 0.1. 0.4106364428945074
9, 1,  5, 0.5. 0.4116535890729439
9, 1,  3, 0.5. 0.4154315605928509
896783, 1,  3, 0.5. 0.4215597711532671
15, 1,  5, 0.5. 0.422244094488189
45234, 1,  7, 0.5. 0.43399198167239406
12, 1,  3, 0.5. 0.43296795952782463
12, 1,  7, 0.5. 0.4342327150084317
45234, 1,  1, 0.5. 0.43442153493699887
9, 1,  1, 0.5. 0.42342342342342343
15, 1,  13, 5. 0.42154105736782904
896783, 1,  11, 0.5. 0.4212586570310147
9, 1,  11, 0.5. 0.41238012205754143
12, 1,  11, 0.5. 0.433389544688027
45234, 1,  5, 0.5. 0.43399198167239406
15, 1,  15, 0.5. 0.421822272215973
45234, 1,  3, 0.5. 0.4354238258877434
45234, 1,  15, 0.5. 0.4345647193585338
896783, 1,  5, 0.5. 0.4224631135200241
896783, 1,  9, 5. 0.4235170129479073
896783, 1,  7, 0.5. 0.4232158988256549
15, 1,  1, 0.5. 0.41169853768278963
45234, 1,  9, 0.5. 0.43556701030927836
896783, 1,  13, 0.5. 0.42216199939777177
12, 1,  1, 0.5. 0.44210230466554246
9, 1,  13, 0.5. 0.4132519616390584
12, 1,  13, 0.5. 0.4335300730747611
45234, 1,  11, 0.5. 0.434135166093929
9, 1,  5, 5. 0.4084568439407149
896783, 1,  15, 0.5. 0.42216199939777177
15, 1,  3, 0.5. 0.421681664791901
45234, 1,  13, 5. 0.43714203894616266
15, 1,  7, 0.5. 0.421822272215973
12, 1,  15, 0.5. 0.43296795952782463
9, 1,  7, 0.5. 0.4078756175530369
12, 1,  9, 0.5. 0.433389544688027
896783, 1,  1, 0.5. 0.4046973803071364
12, 1,  5, 0.5. 0.43395165823496346
9, 1,  9, 0.5. 0.4129613484452194
15, 1,  5, 5. 0.42435320584926883
15, 1,  9, 0.5. 0.422244094488189
9, 1,  15, 0.5. 0.4106364428945074
15, 1,  11, 0.5. 0.421822272215973
9, 1,  3, 5. 0.4235687300203429
896783, 1,  3, 5. 0.42667871123155676
45234, 1,  5, 5. 0.41652348224513175
12, 1,  11, 5. 0.4336706014614952
45234, 1,  3, 5. 0.41537800687285226
45234, 1,  7, 5. 0.43585337915234823
12, 1,  3, 5. 0.4300168634064081
896783, 1,  7, 5. 0.17901234567901234
896783, 1,  11, 5. 0.4241192411924119
896783, 1,  5, 5. 0.40906353507979526
896783, 1,  9, 10. 0.42110809996988857
45234, 1,  1, 5. 0.003436426116838488
12, 1,  7, 5. 0.44350758853288363
9, 1,  1, 5. 0.0027608253414705027
15, 1,  15, 5. 0.4237907761529809
9, 1,  11, 5. 0.3982853821563499
15, 1,  1, 5. 0.41437007874015747
45234, 1,  15, 5. 0.4372852233676976
15, 1,  13, 10. 0.41690101237345334
896783, 2,  9, 0.001. 0.5365853658536586
15, 2,  13, 0.001. 0.5251687289088864
45234, 1,  9, 5. 0.4309851088201604
896783, 1,  13, 5. 0.4247214694369166
