Seed, Order, mu, sigma, Accuracy, Supervison
9, 1,  1, 10, 0.07773902935193258,w
45234, 2,  3, 0.001, 0.5336483390607102,w
12, 1,  3, 10, 0.0,w
896783, 2,  15, 0.001, 0.5448660042155977,w
15, 1,  3, 10, 0.001546681664791901,w
15, 1,  1, 10, 0.40874578177727783,w
896783, 2,  3, 0.001, 0.5448660042155977,w
15, 1,  11, 10, 0.42561867266591674,w
896783, 2,  11, 0.001, 0.544263775971093,w
45234, 1,  1, 10, 0.4289805269186712,w
12, 1,  5, 10, 0.40205171444631815,w
896783, 2,  9, 0.001, 0.544263775971093,w
9, 2,  3, 0.001, 0.521795989537925,w
45234, 2,  7, 0.001, 0.5336483390607102,w
12, 1,  11, 10, 0.41863406408094433,w
9, 2,  7, 0.001, 0.521795989537925,w
896783, 2,  7, 0.1, 0.544263775971093,w
45234, 1,  13, 10, 0.434135166093929,w
45234, 1,  11, 10, 0.4365693012600229,w
15, 2,  5, 0.001, 0.5366985376827896,w
896783, 2,  5, 0.1, 0.5448660042155977,w
15, 2,  7, 0.001, 0.5369797525309337,w
896783, 2,  13, 0.001, 0.5448660042155977,w
9, 2,  5, 0.001, 0.521795989537925,w
9, 1,  15, 10, 0.3952339436210404,w
15, 1,  15, 10, 0.4187289088863892,w
896783, 2,  1, 0.1, 0.544263775971093,w
45234, 2,  5, 0.001, 0.5336483390607102,w
9, 2,  11, 0.001, 0.521795989537925,w
15, 1,  13, 10, 0.421259842519685,w
45234, 2,  15, 0.001, 0.5335051546391752,w
12, 2,  7, 0.001, 0.5448285553681844,w
15, 2,  9, 0.001, 0.5369797525309337,w
45234, 2,  9, 0.001, 0.5333619702176403,w
9, 2,  13, 0.001, 0.521795989537925,w
12, 2,  9, 0.001, 0.5453906689151209,w
9, 2,  9, 0.001, 0.521795989537925,w
12, 1,  13, 10, 0.4349353569421023,w
45234, 2,  3, 0.1, 0.5333619702176403,w
12, 1,  15, 10, 0.4274873524451939,w
15, 2,  3, 0.001, 0.5369797525309337,w
12, 2,  3, 0.001, 0.5448285553681844,w
896783, 2,  15, 0.1, 0.5448660042155977,w
12, 2,  1, 0.001, 0.5451096121416527,w
9, 2,  1, 0.001, 0.521795989537925,w
896783, 2,  11, 0.1, 0.544263775971093,w
15, 2,  1, 0.001, 0.5369797525309337,w
45234, 2,  1, 0.001, 0.5336483390607102,w
896783, 2,  3, 0.1, 0.5447154471544715,w
15, 2,  11, 0.001, 0.5366985376827896,w
12, 2,  5, 0.001, 0.5453906689151209,w
896783, 2,  9, 0.1, 0.5447154471544715,w
9, 2,  3, 0.1, 0.5212147631502471,w
9, 2,  7, 0.1, 0.521795989537925,w
45234, 2,  7, 0.1, 0.5336483390607102,w
896783, 2,  7, 0.5, 0.5445648900933454,w
12, 2,  11, 0.001, 0.5448285553681844,w
45234, 2,  13, 0.001, 0.5337915234822451,w
45234, 2,  11, 0.001, 0.5335051546391752,w
896783, 2,  5, 0.5, 0.5441132189099669,w
896783, 2,  13, 0.1, 0.544263775971093,w
15, 2,  7, 0.1, 0.5366985376827896,w
15, 2,  5, 0.1, 0.5366985376827896,w
9, 2,  5, 0.1, 0.522377215925603,w
9, 2,  15, 0.001, 0.521795989537925,w
896783, 2,  1, 0.5, 0.5573622402890696,w
45234, 2,  5, 0.1, 0.5342210767468499,w
15, 2,  15, 0.001, 0.5366985376827896,w
45234, 2,  15, 0.1, 0.5333619702176403,w
12, 2,  7, 0.1, 0.5451096121416527,w
9, 2,  11, 0.1, 0.522377215925603,w
15, 2,  9, 0.1, 0.5369797525309337,w
15, 2,  13, 0.001, 0.5366985376827896,w
12, 2,  15, 0.001, 0.5449690837549185,w
12, 2,  1, 0.1, 0.5449690837549185,w
9, 2,  1, 0.1, 0.5244115082824761,w
45234, 2,  9, 0.1, 0.5336483390607102,w
12, 2,  3, 0.1, 0.545531197301855,w
15, 2,  1, 0.1, 0.5358548931383577,w
12, 2,  9, 0.1, 0.545531197301855,w
45234, 2,  3, 0.5, 0.5315005727376861,w
9, 2,  9, 0.1, 0.522086602731764,w
9, 2,  13, 0.1, 0.522086602731764,w
15, 2,  11, 0.1, 0.5366985376827896,w
896783, 2,  9, 0.5, 0.5444143330322192,w
12, 2,  13, 0.001, 0.5449690837549185,w
15, 2,  3, 0.1, 0.5364173228346457,w
896783, 2,  15, 0.5, 0.5448660042155977,w
9, 2,  7, 0.5, 0.522958442313281,w
896783, 2,  11, 0.5, 0.544263775971093,w
45234, 2,  1, 0.1, 0.5346506300114547,w
896783, 2,  3, 0.5, 0.5462210177657332,w
45234, 2,  11, 0.1, 0.5336483390607102,w
12, 2,  5, 0.1, 0.545531197301855,w
9, 2,  3, 0.5, 0.5251380412670735,w
896783, 2,  13, 0.5, 0.5444143330322192,w
45234, 2,  7, 0.5, 0.5327892325315006,w
896783, 2,  7, 5, 0.5638361939174947,w
45234, 2,  5, 0.5, 0.5346506300114547,w
9, 2,  15, 0.1, 0.522086602731764,w
896783, 2,  5, 5, 0.5382414935260463,w
15, 2,  15, 0.1, 0.5369797525309337,w
12, 2,  11, 0.1, 0.5448285553681844,w
9, 2,  5, 0.5, 0.522377215925603,w
15, 2,  7, 0.5, 0.5364173228346457,w
15, 2,  5, 0.5, 0.5364173228346457,w
45234, 2,  15, 0.5, 0.5346506300114547,w
12, 2,  7, 0.5, 0.5446880269814502,w
15, 2,  9, 0.5, 0.5375421822272216,w
9, 2,  11, 0.5, 0.522958442313281,w
15, 2,  13, 0.1, 0.5366985376827896,w
12, 2,  15, 0.1, 0.5448285553681844,w
9, 2,  1, 0.5, 0.527027027027027,w
12, 2,  1, 0.5, 0.5507307476110175,w
12, 2,  3, 0.5, 0.5449690837549185,w
15, 2,  1, 0.5, 0.5355736782902137,w
45234, 2,  9, 0.5, 0.5333619702176403,w
15, 2,  11, 0.5, 0.5375421822272216,w
45234, 2,  3, 5, 0.5538373424971363,w
896783, 2,  9, 5, 0.5436615477265884,w
12, 2,  9, 0.5, 0.5460933108487914,w
9, 2,  13, 0.5, 0.522086602731764,w
9, 2,  9, 0.5, 0.5219412961348445,w
9, 2,  7, 5, 0.524702121476315,w
896783, 2,  15, 5, 0.5388437217705511,w
15, 2,  3, 0.5, 0.5369797525309337,w
12, 2,  13, 0.1, 0.5451096121416527,w
896783, 2,  11, 5, 0.5528455284552846,w
896783, 2,  13, 5, 0.5555555555555556,w
896783, 2,  3, 5, 0.5263474856970792,w
45234, 2,  11, 0.5, 0.5342210767468499,w
45234, 2,  1, 0.5, 0.5306414662084765,w
45234, 2,  5, 5, 0.5531214203894617,w
12, 2,  5, 0.5, 0.5439853850477796,w
9, 2,  3, 5, 0.5448997384481256,w
45234, 2,  7, 5, 0.5282073310423826,w
9, 2,  15, 0.5, 0.521505376344086,w
9, 2,  5, 5, 0.54359197907585,w
15, 2,  15, 0.5, 0.5374015748031497,w
45234, 2,  15, 5, 0.531930126002291,w
15, 2,  7, 5, 0.5421822272215973,w
15, 2,  5, 5, 0.5396512935883014,w
12, 2,  7, 5, 0.5448285553681844,w
12, 2,  11, 0.5, 0.5446880269814502,w
15, 2,  9, 5, 0.5487907761529809,w
9, 2,  11, 5, 0.5289160127869805,w
9, 2,  1, 5, 0.508137169427492,w
12, 2,  1, 5, 0.006042720629567172,w
15, 2,  13, 0.5, 0.5372609673790776,w
12, 2,  3, 5, 0.5473580663293985,w
15, 2,  1, 5, 0.2566085489313836,w
12, 2,  15, 0.5, 0.5456717256885891,w
15, 2,  11, 5, 0.5358548931383577,w
45234, 2,  9, 5, 0.5335051546391752,w
12, 2,  9, 5, 0.5505902192242833,w
9, 2,  13, 5, 0.515402499273467,w
9, 2,  9, 5, 0.5167102586457425,w
15, 2,  3, 5, 0.009983127109111362,w
896783, 2,  13, 10, 0.5465221318879856,w
896783, 2,  11, 10, 0.5374887082204155,w
12, 2,  13, 0.5, 0.5452501405283867,w
896783, 2,  3, 10, 0.5213791026799157,w
45234, 2,  11, 5, 0.5378006872852233,w
45234, 2,  1, 5, 0.5191867124856816,w
45234, 2,  5, 10, 0.5315005727376861,w
12, 2,  5, 5, 0.5522765598650927,w
9, 2,  3, 10, 0.513368206916594,w
45234, 2,  7, 10, 0.49828178694158076,w
9, 2,  15, 5, 0.5175820982272595,w
9, 2,  5, 10, 0.42574832897413545,w
15, 2,  15, 5, 0.5403543307086615,w
45234, 2,  15, 10, 0.5372279495990836,w
15, 2,  5, 10, 0.3494094488188976,w
15, 2,  7, 10, 0.5404949381327334,w
12, 2,  11, 5, 0.5449690837549185,w
896783, 3,  13, 0.001, 0.6186389641674195,w
12, 2,  7, 10, 0.5496065205171444,w
896783, 3,  3, 0.001, 0.6186389641674195,w
15, 2,  9, 10, 0.5255905511811023,w
45234, 3,  5, 0.001, 0.6145475372279496,w
45234, 3,  7, 0.001, 0.6154066437571593,w
9, 3,  3, 0.001, 0.6040395233943621,w
9, 2,  11, 10, 0.5135135135135135,w
9, 3,  5, 0.001, 0.6044754431851206,w
45234, 3,  15, 0.001, 0.6146907216494846,w
9, 2,  1, 10, 0.006393490264458007,w
15, 3,  5, 0.001, 0.6103768278965129,w
15, 3,  7, 0.001, 0.610236220472441,w
12, 2,  1, 10, 0.004496908375491849,w
12, 3,  7, 0.001, 0.6228218100056211,w
15, 2,  13, 5, 0.5355736782902137,w
15, 3,  9, 0.001, 0.6103768278965129,w
45234, 3,  7, 0.1, 0.6146907216494846,w
12, 2,  3, 10, 0.5428611579539067,w
45234, 3,  5, 0.1, 0.6145475372279496,w
15, 2,  1, 10, 0.32269403824521936,w
12, 2,  15, 5, 0.5517144463181562,w
9, 3,  3, 0.1, 0.6040395233943621,w
15, 2,  11, 10, 0.5389482564679415,w
45234, 2,  9, 10, 0.5393757159221076,w
9, 3,  1, 0.001, 0.6044754431851206,w
12, 2,  9, 10, 0.5421585160202361,w
9, 3,  5, 0.1, 0.6050566695727986,w
9, 2,  13, 10, 0.5079918628305725,w
15, 2,  3, 10, 0.028824521934758155,w
9, 3,  11, 0.001, 0.6041848299912816,w
45234, 3,  15, 0.1, 0.6154066437571593,w
9, 2,  9, 10, 0.06684103458297007,w
15, 3,  5, 0.1, 0.6100956130483689,w
12, 3,  7, 0.1, 0.622681281618887,w
15, 3,  7, 0.1, 0.6099550056242969,w
12, 2,  13, 5, 0.5424395727937044,w
12, 3,  1, 0.001, 0.6228218100056211,w
45234, 2,  11, 10, 0.5176116838487973,w
12, 2,  5, 10, 0.5396290050590219,w
15, 3,  1, 0.001, 0.6103768278965129,w
15, 3,  9, 0.1, 0.610236220472441,w
45234, 2,  1, 10, 0.5177548682703322,w
9, 3,  3, 0.5, 0.6095611740773031,w
12, 3,  3, 0.001, 0.6228218100056211,w
45234, 3,  9, 0.001, 0.6145475372279496,w
15, 3,  11, 0.001, 0.6099550056242969,w
9, 3,  5, 0.5, 0.6046207497820401,w
15, 3,  3, 0.001, 0.6099550056242969,w
9, 3,  13, 0.001, 0.6041848299912816,w
9, 3,  1, 0.1, 0.6065097355419936,w
12, 3,  9, 0.001, 0.622681281618887,w
15, 3,  5, 0.5, 0.609673790776153,w
9, 3,  9, 0.001, 0.6040395233943621,w
45234, 3,  15, 0.5, 0.6142611683848798,w
12, 3,  7, 0.5, 0.6268971332209107,w
9, 2,  15, 10, 0.5297878523684976,w
15, 3,  7, 0.5, 0.610236220472441,w
9, 3,  11, 0.1, 0.6040395233943621,w
15, 2,  15, 10, 0.5410573678290214,w
15, 3,  1, 0.1, 0.610658042744657,w
12, 2,  11, 10, 0.5394884766722878,w
12, 3,  1, 0.1, 0.6212759977515458,w
12, 3,  5, 0.001, 0.6228218100056211,w
15, 3,  9, 0.5, 0.6105174353205849,w
9, 3,  5, 5, 0.5851496657948271,w
45234, 3,  11, 0.001, 0.6145475372279496,w
45234, 3,  1, 0.001, 0.6145475372279496,w
12, 3,  9, 0.1, 0.6228218100056211,w
9, 3,  13, 0.1, 0.6049113629758791,w
15, 3,  3, 0.1, 0.609251968503937,w
12, 3,  3, 0.1, 0.6215570545250141,w
45234, 3,  9, 0.1, 0.6155498281786942,w
15, 3,  11, 0.1, 0.610236220472441,w
9, 3,  1, 0.5, 0.597646033129904,w
15, 3,  5, 5, 0.6503093363329584,w
9, 3,  9, 0.1, 0.6049113629758791,w
9, 3,  11, 0.5, 0.6050566695727986,w
45234, 3,  15, 5, 0.6244272623138603,w
12, 3,  7, 5, 0.6302698145025295,w
15, 3,  7, 5, 0.6212035995500562,w
9, 3,  15, 0.001, 0.6043301365882011,w
12, 3,  1, 0.5, 0.6207138842046094,w
15, 3,  15, 0.001, 0.610236220472441,w
15, 2,  13, 10, 0.5551181102362205,w
9, 3,  13, 0.5, 0.6040395233943621,w
12, 3,  11, 0.001, 0.622681281618887,w
15, 3,  1, 0.5, 0.6123453318335208,w
45234, 3,  11, 0.1, 0.6145475372279496,w
15, 3,  9, 5, 0.6053149606299213,w
12, 3,  9, 0.5, 0.6229623383923553,w
12, 3,  5, 0.1, 0.6228218100056211,w
9, 3,  11, 5, 0.6150828247602441,w
9, 3,  1, 5, 0.6217669282185411,w
45234, 3,  1, 0.1, 0.6144043528064147,w
15, 3,  3, 0.5, 0.609251968503937,w
9, 3,  9, 0.5, 0.6037489102005231,w
15, 3,  11, 0.5, 0.6110798650168728,w
12, 3,  7, 10, 0.6142495784148398,w
12, 3,  3, 0.5, 0.6236649803260259,w
45234, 3,  15, 10, 0.6176975945017182,w
45234, 3,  9, 0.5, 0.6162657502863689,w
12, 2,  15, 10, 0.5522765598650927,w
12, 3,  1, 5, 0.6103147835862844,w
15, 3,  1, 5, 0.5826771653543307,w
12, 3,  11, 0.1, 0.6228218100056211,w
9, 3,  15, 0.1, 0.6041848299912816,w
9, 3,  13, 5, 0.5996803254867771,w
15, 3,  15, 0.1, 0.610236220472441,w
12, 3,  9, 5, 0.6159359190556493,w
12, 3,  5, 0.5, 0.6268971332209107,w
45234, 3,  11, 0.5, 0.6144043528064147,w
15, 3,  9, 10, 0.6116422947131609,w
45234, 3,  1, 0.5, 0.6106815578465064,w
15, 3,  3, 5, 0.07733408323959505,w
45234, 4,  15, 0.001, 0.6842783505154639,w
15, 3,  13, 0.001, 0.6099550056242969,w
9, 3,  11, 10, 0.5889276373147341,w
9, 3,  9, 5, 0.6124673060156931,w
12, 2,  13, 10, 0.5508712759977515,w
9, 3,  1, 10, 0.3289741354257483,w
12, 3,  3, 5, 0.6236649803260259,w
15, 3,  1, 10, 0.5964566929133859,w
12, 3,  15, 0.001, 0.622681281618887,w
15, 4,  9, 0.001, 0.6740719910011248,w
15, 3,  11, 5, 0.6296400449943758,w
12, 3,  1, 10, 0.13350196739741427,w
15, 3,  15, 0.5, 0.610658042744657,w
9, 4,  11, 0.001, 0.6692821854112176,w
45234, 3,  9, 5, 0.6179839633447881,w
9, 4,  1, 0.001, 0.6694274920081371,w
12, 3,  5, 5, 0.6100337268128162,w
9, 3,  15, 0.5, 0.6050566695727986,w
15, 4,  9, 0.1, 0.6747750281214848,w
15, 3,  3, 10, 0.6023622047244095,w
12, 4,  1, 0.001, 0.6850758853288365,w
9, 3,  13, 10, 0.6085440278988666,w
12, 3,  13, 0.001, 0.6228218100056211,w
45234, 3,  11, 5, 0.63631156930126,w
15, 4,  1, 0.001, 0.6744938132733408,w
9, 4,  1, 0.1, 0.6671025864574252,w
45234, 3,  1, 5, 0.5751718213058419,w
12, 3,  11, 0.5, 0.6242270938729624,w
12, 3,  3, 10, 0.05761663856098932,w
15, 3,  13, 0.1, 0.6103768278965129,w
12, 3,  9, 10, 0.6219786396852164,w
9, 4,  11, 0.1, 0.6692821854112176,w
9, 3,  9, 10, 0.5954664341761116,w
15, 4,  3, 0.001, 0.6746344206974129,w
15, 3,  11, 10, 0.6122047244094488,w
15, 3,  15, 5, 0.6147356580427447,w
9, 4,  13, 0.001, 0.6687009590235397,w
12, 4,  1, 0.1, 0.6859190556492412,w
9, 4,  1, 0.5, 0.6970357454228422,w
12, 4,  3, 0.001, 0.6850758853288365,w
12, 3,  15, 0.1, 0.6225407532321529,w
15, 4,  1, 0.1, 0.6730877390326209,w
15, 4,  3, 0.1, 0.6756186726659168,w
12, 4,  9, 0.001, 0.6852164137155705,w
12, 3,  5, 10, 0.13715570545250141,w
