actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.870540722459053, accu:0.3022212250392641
actication:tanh, hidden128, alpha0.001, Val: 0.7, Precision: 0.1339, Recall: 0.2967, F1-measure: 0.1821, RANK:11.16087054072246, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.16087054072246, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.16087054072246, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.01, Precision: 0.0640, Recall: 0.7144, F1-measure: 0.1172, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.1, Precision: 0.1129, Recall: 0.6628, F1-measure: 0.1919, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.2, Precision: 0.1612, Recall: 0.6588, F1-measure: 0.2572, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.3, Precision: 0.1653, Recall: 0.6577, F1-measure: 0.2625, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.4, Precision: 0.1005, Recall: 0.2983, F1-measure: 0.1492, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.5, Precision: 0.1009, Recall: 0.2983, F1-measure: 0.1497, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.6, Precision: 0.1495, Recall: 0.2967, F1-measure: 0.1970, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.7, Precision: 0.1676, Recall: 0.2967, F1-measure: 0.2093, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.8, Precision: 0.2757, Recall: 0.2926, F1-measure: 0.2780, RANK:10.433924164236034, accu:0.3022212250392641

actication:tanh, hidden256, alpha0.001, Val: 0.9, Precision: 0.2140, Recall: 0.2087, F1-measure: 0.2105, RANK:10.433924164236034, accu:0.3022212250392641

actication:relu, hidden256, alpha0.001, Val: 1e-05, Precision: 0.0402, Recall: 0.7291, F1-measure: 0.0760, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.001, Precision: 0.0477, Recall: 0.7282, F1-measure: 0.0892, RANK:12.09759928202827, accu:0.027821404532196545

actication:relu, hidden256, alpha0.001, Val: 0.01, Precision: 0.0663, Recall: 0.7199, F1-measure: 0.1210, RANK:12.09759928202827, accu:0.027821404532196545

